chem_disease_marker/mechanism	chem_disease_marker/mechanism
chem_disease_therapeutic	chem_disease_therapeutic
chem_gene_affects^binding	
chem_gene_affects^expression	
chem_gene_affects^localization	
chem_gene_affects^hydrolysis	
chem_gene_affects^hydroxylation	
chem_gene_affects^glycosylation	
chem_gene_affects^oxidation	
chem_gene_affects^degradation	
chem_gene_affects^chemical_synthesis	
chem_gene_affects^sulfation	
chem_gene_affects^glucuronidation	
chem_gene_affects^phosphorylation	
chem_gene_affects^methylation	
chem_gene_affects^acetylation	
chem_gene_affects^metabolic_processing	
chem_gene_affects^cleavage	
chem_gene_affects^reduction	
chem_gene_affects^response_to_substance	chem_gene_affects_response_to_substance
chem_gene_decreases^activity	chem_gene_decreases_activity
chem_gene_decreases^expression	chem_gene_decreases_expression
chem_gene_decreases^ethylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^glycation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^sulfation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^reduction	chem_gene_decreases_metabolic_processing
chem_gene_decreases^prenylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^farnesylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^methylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^oxidation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^ubiquitination	chem_gene_decreases_metabolic_processing
chem_gene_decreases^alkylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^geranoylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^acetylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^nitrosation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^sumoylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^hydroxylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^hydrolysis	chem_gene_decreases_metabolic_processing
chem_gene_decreases^glycosylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^cleavage	chem_gene_decreases_metabolic_processing
chem_gene_decreases^degradation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^chemical_synthesis	chem_gene_decreases_metabolic_processing
chem_gene_decreases^carboxylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^glucuronidation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^ADP-ribosylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^phosphorylation	chem_gene_decreases_metabolic_processing
chem_gene_decreases^metabolic_processing	chem_gene_decreases_metabolic_processing
chem_gene_decreases^reaction	chem_gene_decreases_reaction
chem_gene_decreases^response_to_substance	chem_gene_affects_response_to_substance
chem_gene_decreases^secretion	chem_gene_affects_transport
chem_gene_decreases^uptake	chem_gene_affects_transport
chem_gene_decreases^transport	chem_gene_affects_transport
chem_gene_decreases^import	chem_gene_affects_transport
chem_gene_decreases^export	chem_gene_affects_transport
chem_gene_increases^abundance	
chem_gene_increases^activity	chem_gene_increases_activity
chem_gene_increases^expression	chem_gene_increases_expression
chem_gene_increases^prenylation	chem_gene_increases_metabolic_processing
chem_gene_increases^hydrolysis	chem_gene_increases_metabolic_processing
chem_gene_increases^lipidation	chem_gene_increases_metabolic_processing
chem_gene_increases^nitrosation	chem_gene_increases_metabolic_processing
chem_gene_increases^degradation	chem_gene_increases_metabolic_processing
chem_gene_increases^acylation	chem_gene_increases_metabolic_processing
chem_gene_increases^ubiquitination	chem_gene_increases_metabolic_processing
chem_gene_increases^cleavage	chem_gene_increases_metabolic_processing
chem_gene_increases^ADP-ribosylation	chem_gene_increases_metabolic_processing
chem_gene_increases^acetylation	chem_gene_increases_metabolic_processing
chem_gene_increases^carbamoylation	chem_gene_increases_metabolic_processing
chem_gene_increases^glycosylation	chem_gene_increases_metabolic_processing
chem_gene_increases^amination	chem_gene_increases_metabolic_processing
chem_gene_increases^metabolic_processing	chem_gene_increases_metabolic_processing
chem_gene_increases^hydroxylation	chem_gene_increases_metabolic_processing
chem_gene_increases^reduction	chem_gene_increases_metabolic_processing
chem_gene_increases^chemical_synthesis	chem_gene_increases_metabolic_processing
chem_gene_increases^glucuronidation	chem_gene_increases_metabolic_processing
chem_gene_increases^phosphorylation	chem_gene_increases_metabolic_processing
chem_gene_increases^sulfation	chem_gene_increases_metabolic_processing
chem_gene_increases^N-linked_glycosylation	chem_gene_increases_metabolic_processing
chem_gene_increases^glutathionylation	chem_gene_increases_metabolic_processing
chem_gene_increases^sumoylation	chem_gene_increases_metabolic_processing
chem_gene_increases^methylation	chem_gene_increases_metabolic_processing
chem_gene_increases^alkylation	chem_gene_increases_metabolic_processing
chem_gene_increases^oxidation	chem_gene_increases_metabolic_processing
chem_gene_increases^O-linked_glycosylation	chem_gene_increases_metabolic_processing
chem_gene_increases^reaction	chem_gene_increases_reaction
chem_gene_increases^response_to_substance	chem_gene_affects_response_to_substance
chem_gene_increases^uptake	chem_gene_affects_transport
chem_gene_increases^secretion	chem_gene_affects_transport
chem_gene_increases^transport	chem_gene_affects_transport
chem_gene_increases^import	chem_gene_affects_transport
chem_gene_increases^export	chem_gene_affects_transport
gene_disease_marker/mechanism	gene_disease_marker/mechanism
gene_disease_therapeutic	gene_disease_therapeutic
