ChemicalID	DiseaseID	PubMedIDs
C112297	D006948	19098162
C425777	D006948	15765258
C013567	D006333	6703113
C418863	D013262	25811541
C065351	D014202	9641557
C025205	D000014	17091503
C072959	D008107	9284778
C527346	D007249	17993463
C495657	D010049	16760418
C495657	D010049	22306526
C024566	D001145	3105712
C024566	D001145	6124437
C024566	D056486	6623471
C024566	D056486	2361581
C024566	D056486	2862719
C024566	D056486	4356632
C024566	D006333	3105712
C024566	D006521	12594376
C037530	D008175	292813
C037530	D013274	292813
C015530	D056486	2361581
C015530	D056486	7440962
C015530	D011230	3296316
C024567	D056486	4064947
C024567	D056486	4356632
C024567	D056486	6623471
C024567	D056486	6884620
C024567	D056486	7120509
C024567	D056486	7179309
C024567	D056486	1489524
C024567	D056486	2361581
C024567	D056486	2862719
C024567	D011230	3296316
C555019	D002386	24085193
C049235	D002318	20174466
C049235	D020521	11684346
C068320	D006965	7797176
C501196	D056486	2862719
C501196	D011230	3296316
C432747	D007249	19513120
C001427	D001919	9190833
C001427	D007022	9190833
C016780	D002189	18563365
C040735	D011565	3087403
C049022	D056486	19783048
C046839	D024821	19440495
C473650	D007333	26752053
C473650	D056128	26752053
C412791	D001284	22813907
C501656	D002375	19107466
C063159	D009436	17326132
C084924	D064420	25242405
C084924	D010300	15114628
C014843	D006948	12832229
C575652	D001284	22813907
C575652	D005234	26403959
C575652	D005317	26403959
C575652	D005327	26403959
C046838	D024821	19440495
C057584	D007333	26752053
C057584	D056128	26752053
C051452	D007333	26752053
C051452	D056128	26752053
C504317	D002375	19464324
C009536	D000230	12692652
C009536	D000236	12692652
C009536	D002759	16362062
C009536	D001284	3184199
C009536	D001943	11921183
C009536	D001943	12692652
C009536	D001943	7665008
C009536	D018281	16362062
C009536	D056486	12692652
C009536	D056486	1918791
C009536	D056486	22045893
C009536	D064420	3184199
C009536	D064420	12692652
C009536	D064420	16362062
C009536	D064420	1918791
C009536	D005706	16581948
C009536	D006529	12692652
C009536	D006529	1918791
C009536	D006529	3184199
C009536	D006965	12692652
C009536	D007414	12692652
C009536	D007680	12692652
C009536	D056784	23390197
C009536	D017114	20825388
C009536	D008113	12692652
C009536	D008113	16581948
C009536	D008114	21097997
C009536	D008171	12692652
C009536	D008171	19776212
C009536	D055370	21097997
C009536	D009062	12692652
C009536	D009062	7665008
C009536	D009336	12692652
C009536	D009336	1918791
C009536	D009361	22952646
C009536	D009369	8806876
C009536	D020258	23390197
C009536	D010190	12692652
C009536	D013274	11397402
C009536	D013274	12692652
C009536	D014594	12692652
C009536	D014594	7665008
C009536	D015431	12692652
C009536	D015431	1918791
C009536	D015431	3184199
C539551	D004646	22276220
C018673	D008107	1949037
C018673	D008113	9714333
C063087	D053565	10927029
C026924	D056486	9456081
C009947	D056486	10092053
C009947	D005317	6884296
C009947	D008107	1949037
C009947	D011164	6636202
C026486	D000230	21863085
C026486	D000236	21863085
C026486	D000236	8571376
C026486	D001161	3142695
C026486	D002277	21863085
C026486	D006390	21863085
C026486	D007153	8571374
C026486	D007680	21863085
C026486	D008113	21863085
C026486	D008175	21863085
C026486	D008175	8571376
C026486	D008175	9659573
C026486	D015674	21863085
C026486	D048629	26603514
C026486	D009336	17961608
C026486	D009374	6850980
C026486	D010212	21863085
C026486	D011041	1309687
C026486	D012509	21863085
C026486	D012878	21863085
C026486	D013274	21863085
C087630	D006934	14646396
C087630	D006934	7837819
C087630	D006934	7988477
C538773	D006934	18854204
C097949	D053565	10638776
C408047	D064420	14646396
C408047	D006934	14646396
C015699	D017449	26795242
C015699	D003877	25724174
C064619	D001145	12361690
C048792	D020233	18502740
C011439	D058065	3044883
C039411	D017449	19457305
C039411	D017449	16585981
C039411	D017449	15059095
C039411	D017449	20236197
C039411	D017449	16823706
C039411	D017449	15491422
C039411	D017449	20557338
C039411	D017449	16958921
C039411	D017449	15701121
C039411	D017449	26795242
C039411	D017449	15701124
C039411	D017449	15701125
C039411	D017449	15701126
C039411	D017449	15725286
C039411	D017449	17295694
C039411	D017449	15811027
C039411	D017449	17627659
C039411	D017449	15859992
C039411	D017449	18021599
C039411	D017449	15932584
C039411	D017449	18537990
C039411	D017449	16036118
C039411	D017449	12081698
C039411	D017449	18759875
C039411	D017449	16191021
C039411	D017449	12755729
C039411	D017449	18795931
C039411	D017449	16426287
C039411	D017449	14746621
C039411	D003877	25724174
C039411	D009783	17627659
C039411	D004485	15811027
C039411	D005148	12755729
C039411	D006229	16036118
C039411	D006229	16426287
C039411	D006229	17627659
C039411	D006229	12755729
C039411	D006229	15701121
C039411	D006229	15811027
C039411	D006967	15701124
C039411	D006967	15701125
C039411	D012883	20725155
C007318	D001284	3228205
C007318	D001284	6487690
C007318	D053713	73955
C007318	D001943	11921183
C007318	D007248	17353961
C007318	D007674	2734806
C007318	D008175	292813
C007318	D008325	11921183
C007318	D009336	2734806
C007318	D009669	9385384
C007318	D009845	12759094
C007318	D009845	73955
C007318	D012878	292813
C007318	D013274	292813
C007318	D013274	3768853
C007318	D015431	6487690
C102879	D056486	8821673
C102879	D056486	9456081
C090640	D012640	11574358
C090640	D012640	9768802
C028328	D017449	26795242
C035384	D000014	8449394
C035384	D056486	7497910
C042316	D015674	19886636
C032041	D000230	12806399
C032041	D001943	11921183
C032041	D001943	12806399
C032041	D006528	12806399
C032041	D008114	12806399
C032041	D008325	11921183
C032041	D018307	12806399
C039737	D006948	14556232
C118009	D009069	26117601
C027488	D009669	9385384
C027488	D011115	8472653
C022146	D018248	1987363
C022146	D006394	3401843
C022146	D007414	3468300
C022146	D007414	6847770
C022146	D007942	3468300
C022146	D015470	1987363
C022146	D008175	1987363
C022146	D008175	6847770
C022146	D008175	7513819
C022146	D016393	1987363
C022146	D016393	2208085
C022146	D009374	3130352
C022146	D018215	3468300
C022146	D012516	1987363
C022146	D012516	3468300
C022146	D012516	6847770
C022146	D010212	7513819
C022146	D012878	6847770
C022146	D013274	6847770
C506598	D003328	16048847
C058895	D004487	15748628
C055821	D009374	3130352
C040756	D000014	23684558
C040756	D004487	19399481
C040756	D004487	23684558
C554292	D018450	20869957
C554292	D020031	20869957
C554292	D042822	20869957
C554292	C538339	20869957
C554292	D012878	22009531
C576882	D056486	23586759
C098186	D000014	25181703
C034832	D056486	21094227
C069881	D011654	8848548
C419153	D012734	21420409
C419153	D042882	15236189
C031763	D001932	16860786
C031763	D001943	11921183
C031763	D001943	12165863
C031763	D002869	20017413
